Regiao_Sigla;Estado_Sigla;Municipio;Produto;Data_da_Coleta;Valor_de_Venda;Unidade_de_Medida;Bandeira
SE;MG;SAO JOAO DEL REI;GASOLINA;05/01/2022;6,92;R$ / litro;BRANCA
SE;MG;UBERLANDIA;GASOLINA;05/01/2022;6,69;R$ / litro;RAIZEN
CO;MS;CAMPO GRANDE;GASOLINA;05/01/2022;6,34;R$ / litro;RAIZEN
N;PA;ALENQUER;DIESEL;05/01/2022;6,05;R$ / litro;EQUADOR
N;PA;ANANINDEUA;DIESEL;05/01/2022;5,25;R$ / litro;BRANCA
NE;PB;CABEDELO;GASOLINA;05/01/2022;6,58;R$ / litro;IPIRANGA
NE;PE;CABO DE SANTO AGOSTINHO;DIESEL S10;05/01/2022;5,37;R$ / litro;RAIZEN
NE;PE;CARUARU;DIESEL S10;05/01/2022;5,37;R$ / litro;BRANCA
NE;PE;RECIFE;DIESEL S10;05/01/2022;5,54;R$ / litro;IPIRANGA
NE;PE;SERRA TALHADA;DIESEL S10;05/01/2022;5,29;R$ / litro;IPIRANGA
S;PR;ARAPONGAS;DIESEL;05/01/2022;5,15;R$ / litro;BRANCA
S;PR;CIANORTE;DIESEL S10;05/01/2022;4,99;R$ / litro;CIAPETRO
S;PR;GUARAPUAVA;DIESEL S10;05/01/2022;5,09;R$ / litro;IPIRANGA
S;PR;LONDRINA;DIESEL S10;05/01/2022;5,47;R$ / litro;RAIZEN
S;PR;PARANAVAI;DIESEL S10;05/01/2022;4,99;R$ / litro;BRANCA
S;PR;UNIAO DA VITORIA;DIESEL;05/01/2022;5;R$ / litro;IPIRANGA
SE;RJ;RIO BONITO;DIESEL S10;05/01/2022;5,49;R$ / litro;IPIRANGA
SE;RJ;NILOPOLIS;ETANOL;05/01/2022;5,79;R$ / litro;BRANCA
NE;RN;PARNAMIRIM;DIESEL S10;05/01/2022;5,85;R$ / litro;IPIRANGA
S;RS;ALVORADA;DIESEL;05/01/2022;5,25;R$ / litro;VIBRA ENERGIA
S;RS;BAGE;DIESEL;05/01/2022;5,86;R$ / litro;VIBRA ENERGIA
S;RS;CACHOEIRA DO SUL;DIESEL;05/01/2022;5,39;R$ / litro;IPIRANGA
S;RS;SAPIRANGA;DIESEL;05/01/2022;4,99;R$ / litro;BRANCA
S;RS;VIAMAO;DIESEL S10;05/01/2022;5,29;R$ / litro;VIBRA ENERGIA
S;SC;ARARANGUA;DIESEL;05/01/2022;5,09;R$ / litro;IPIRANGA
S;SC;BRUSQUE;DIESEL S10;05/01/2022;4,98;R$ / litro;IPIRANGA
S;SC;CRICIUMA;DIESEL;05/01/2022;5,09;R$ / litro;IPIRANGA
S;SC;TUBARAO;DIESEL S10;05/01/2022;5,22;R$ / litro;BRANCA
SE;SP;ARARAQUARA;DIESEL;05/01/2022;5,13;R$ / litro;BRANCA
SE;SP;CACAPAVA;DIESEL;05/01/2022;4,94;R$ / litro;BRANCA
SE;SP;ITAPETININGA;DIESEL;05/01/2022;5,49;R$ / litro;VIBRA ENERGIA
SE;SP;RIBEIRAO PRETO;GASOLINA ADITIVADA;05/01/2022;6,49;R$ / litro;RAIZEN
SE;SP;SANTA BARBARA D'OESTE;GASOLINA ADITIVADA;05/01/2022;6,29;R$ / litro;IPIRANGA
SE;SP;SANTA CRUZ DO RIO PARDO;DIESEL;05/01/2022;5,27;R$ / litro;BRANCA
SE;SP;SAO JOSE DO RIO PRETO;GASOLINA;05/01/2022;5,94;R$ / litro;BRANCA
SE;SP;SERTAOZINHO;GASOLINA;05/01/2022;6,49;R$ / litro;RAIZEN
SE;SP;SOROCABA;GASOLINA ADITIVADA;05/01/2022;6,49;R$ / litro;RAIZEN
SE;SP;VALINHOS;GASOLINA ADITIVADA;05/01/2022;6,37;R$ / litro;RAIZEN
