Regiao_Sigla;Estado_Sigla;Municipio;Produto;Data_da_Coleta;Valor_de_Venda;Unidade_de_Medida;Bandeira
N;PA;CAMETA;DIESEL;04/01/2022;5,40;R$ / litro;BRANCA
CO;MT;VARZEA GRANDE;DIESEL;05/01/2022;5,43;R$ / litro;BRANCA
CO;GO;MORRINHOS;DIESEL S10;04/01/2022;5,44;R$ / litro;BRANCA
SE;SP;TATUI;DIESEL S10;04/01/2022;5,44;R$ / litro;VIBRA ENERGIA
SE;RJ;PETROPOLIS;DIESEL S10;05/01/2022;5,44;R$ / litro;RAIZEN
S;RS;SAO GABRIEL;DIESEL;05/01/2022;5,44;R$ / litro;IPIRANGA
SE;SP;AVARE;DIESEL;06/01/2022;5,44;R$ / litro;BRANCA
SE;SP;ITAPEVA;DIESEL S10;04/01/2022;5,45;R$ / litro;IPIRANGA
SE;SP;TUPA;DIESEL S10;04/01/2022;5,45;R$ / litro;BRANCA
SE;RJ;ARARUAMA;DIESEL;06/01/2022;5,46;R$ / litro;BRANCA
SE;SP;DRACENA;DIESEL S10;04/01/2022;5,47;R$ / litro;RAIZEN
SE;MG;BELO HORIZONTE;DIESEL S10;04/01/2022;5,47;R$ / litro;IPIRANGA
S;SC;BIGUACU;DIESEL S10;04/01/2022;5,47;R$ / litro;BRANCA
S;PR;LONDRINA;DIESEL S10;05/01/2022;5,47;R$ / litro;RAIZEN
SE;MG;SAO SEBASTIAO DO PARAISO;DIESEL S10;04/01/2022;5,49;R$ / litro;VIBRA ENERGIA
CO;MS;TRES LAGOAS;DIESEL S10;04/01/2022;5,49;R$ / litro;BRANCA
NE;PE;PAULISTA;DIESEL S10;04/01/2022;5,49;R$ / litro;VIBRA ENERGIA
SE;RJ;SAQUAREMA;GNV;04/01/2022;5,49;R$ / m³;RAIZEN
SE;SP;CUBATAO;DIESEL S10;04/01/2022;5,49;R$ / litro;VIBRA ENERGIA
SE;SP;JABOTICABAL;DIESEL S10;04/01/2022;5,49;R$ / litro;VIBRA ENERGIA
SE;SP;JAU;DIESEL S10;04/01/2022;5,49;R$ / litro;BRANCA
NE;BA;FEIRA DE SANTANA;DIESEL S10;04/01/2022;5,49;R$ / litro;BRANCA
S;RS;PORTO ALEGRE;DIESEL S10;04/01/2022;5,49;R$ / litro;VIBRA ENERGIA
SE;SP;ARACATUBA;DIESEL S10;04/01/2022;5,49;R$ / litro;IPIRANGA
SE;SP;ITAPOLIS;DIESEL S10;04/01/2022;5,49;R$ / litro;BRANCA
SE;RJ;RIO BONITO;DIESEL S10;05/01/2022;5,49;R$ / litro;IPIRANGA
SE;SP;ITAPETININGA;DIESEL;05/01/2022;5,49;R$ / litro;VIBRA ENERGIA
SE;SP;GARCA;DIESEL;05/01/2022;5,49;R$ / litro;BRANCA
N;RO;CACOAL;DIESEL S10;04/01/2022;5,52;R$ / litro;VIBRA ENERGIA
SE;MG;CAMPO BELO;DIESEL;04/01/2022;5,53;R$ / litro;VIBRA ENERGIA
S;PR;MARECHAL CANDIDO RONDON;DIESEL;16/02/2022;5,53;R$ / litro;BRANCA
S;SC;BLUMENAU;DIESEL S10;04/01/2022;5,54;R$ / litro;VIBRA ENERGIA
SE;SP;JOSE BONIFACIO;DIESEL S10;04/01/2022;5,54;R$ / litro;IPIRANGA
NE;MA;IMPERATRIZ;DIESEL S10;04/01/2022;5,54;R$ / litro;IPIRANGA
NE;PE;RECIFE;DIESEL S10;05/01/2022;5,54;R$ / litro;IPIRANGA
NE;SE;JAPARATUBA;DIESEL S10;22/02/2022;5,54;R$ / litro;PETROX DISTRIBUIDORA
NE;BA;JEQUIE;ETANOL;07/01/2022;5,55;R$ / litro;IPIRANGA
N;PA;MARABA;DIESEL S10;04/01/2022;5,56;R$ / litro;BRANCA
NE;PE;PETROLINA;DIESEL;04/01/2022;5,56;R$ / litro;VIBRA ENERGIA
SE;ES;COLATINA;DIESEL S10;19/01/2022;5,57;R$ / litro;VIBRA ENERGIA
N;RO;PORTO VELHO;DIESEL S10;04/01/2022;5,59;R$ / litro;SABBÁ
SE;SP;SUZANO;DIESEL S10;04/01/2022;5,59;R$ / litro;VIBRA ENERGIA
NE;BA;SIMOES FILHO;DIESEL S10;04/01/2022;5,59;R$ / litro;VIBRA ENERGIA
NE;PI;PARNAIBA;DIESEL S10;04/01/2022;5,59;R$ / litro;BRANCA
SE;SP;UBATUBA;DIESEL S10;04/01/2022;5,59;R$ / litro;VIBRA ENERGIA
S;SC;CACADOR;DIESEL S10;04/01/2022;5,63;R$ / litro;RAIZEN MIME
N;RR;BOA VISTA;DIESEL S10;04/01/2022;5,63;R$ / litro;IPIRANGA
SE;RJ;ITABORAI;DIESEL S10;22/02/2022;5,64;R$ / litro;BRANCA
S;RS;ERECHIM;DIESEL;05/01/2022;5,65;R$ / litro;VIBRA ENERGIA
NE;BA;PAULO AFONSO;DIESEL S10;04/01/2022;5,66;R$ / litro;RAIZEN
NE;BA;JUAZEIRO;DIESEL S10;04/01/2022;5,67;R$ / litro;PETROBAHIA
NE;PB;SOUSA;DIESEL S10;04/01/2022;5,68;R$ / litro;TEMAPE
SE;MG;ALFENAS;DIESEL S10;04/01/2022;5,69;R$ / litro;BRANCA
SE;SP;CRUZEIRO;DIESEL S10;04/01/2022;5,69;R$ / litro;BRANCA
NE;CE;FORTALEZA;DIESEL S10;04/01/2022;5,69;R$ / litro;VIBRA ENERGIA
NE;BA;EUNAPOLIS;DIESEL S10;04/01/2022;5,69;R$ / litro;RAIZEN
SE;SP;ASSIS;DIESEL S10;05/01/2022;5,69;R$ / litro;VIBRA ENERGIA
SE;MG;ITUIUTABA;ETANOL;20/01/2022;5,69;R$ / litro;BRANCA
N;RO;PIMENTA BUENO;DIESEL S10;04/01/2022;5,70;R$ / litro;VIBRA ENERGIA
NE;MA;BARRA DO CORDA;DIESEL S10;01/02/2022;5,70;R$ / litro;BRANCA
NE;PI;PIRIPIRI;DIESEL;19/01/2022;5,73;R$ / litro;BRANCA
S;SC;JOINVILLE;DIESEL S10;04/01/2022;5,74;R$ / litro;IPIRANGA
NE;BA;BARREIRAS;DIESEL S10;05/01/2022;5,75;R$ / litro;BRANCA
N;AM;MANACAPURU;DIESEL S10;22/02/2022;5,76;R$ / litro;ATEM' S
SE;SP;MATAO;GASOLINA;06/01/2022;5,78;R$ / litro;BRANCA
NE;CE;QUIXADA;DIESEL S10;04/01/2022;5,79;R$ / litro;RAIZEN
SE;RJ;NILOPOLIS;ETANOL;05/01/2022;5,79;R$ / litro;BRANCA
N;RO;VILHENA;DIESEL S10;04/01/2022;5,81;R$ / litro;EQUADOR
N;PA;XINGUARA;DIESEL;19/01/2022;5,83;R$ / litro;SABBÁ
NE;RN;PARNAMIRIM;DIESEL S10;05/01/2022;5,85;R$ / litro;IPIRANGA
NE;MA;SANTA INES;DIESEL S10;01/02/2022;5,85;R$ / litro;VIBRA ENERGIA
S;RS;BAGE;DIESEL;05/01/2022;5,86;R$ / litro;VIBRA ENERGIA
NE;SE;NOSSA SENHORA DO SOCORRO;DIESEL S10;04/01/2022;5,89;R$ / litro;PETROX DISTRIBUIDORA
SE;SP;ITANHAEM;DIESEL S10;04/01/2022;5,89;R$ / litro;ALESAT
SE;MG;ITABIRA;DIESEL S10;03/02/2022;5,89;R$ / litro;ALESAT
NE;MA;PINHEIRO;DIESEL S10;17/02/2022;5,92;R$ / litro;BRANCA
NE;AL;DELMIRO GOUVEIA;DIESEL S10;04/01/2022;5,93;R$ / litro;VIBRA ENERGIA
NE;CE;CRATEUS;DIESEL S10;04/01/2022;5,94;R$ / litro;SP
SE;SP;SAO JOSE DO RIO PRETO;GASOLINA;05/01/2022;5,94;R$ / litro;BRANCA
N;PA;PARAUAPEBAS;DIESEL S10;04/01/2022;5,95;R$ / litro;BRANCA
SE;SP;SAO JOSE DOS CAMPOS;GASOLINA;05/01/2022;5,95;R$ / litro;BRANCA
SE;SP;PRAIA GRANDE;GASOLINA;03/01/2022;5,99;R$ / litro;BRANCA
NE;RN;NATAL;DIESEL S10;04/01/2022;5,99;R$ / litro;ALESAT
SE;RJ;BARRA DO PIRAI;DIESEL S10;10/03/2022;5,99;R$ / litro;VIBRA ENERGIA
NE;BA;SENHOR DO BONFIM;ETANOL;18/04/2022;5,99;R$ / litro;BRANCA
N;PA;CONCEICAO DO ARAGUAIA;DIESEL S10;04/01/2022;6,00;R$ / litro;BRANCA
SE;SP;ITAPIRA;GASOLINA;06/01/2022;6,02;R$ / litro;BRANCA
N;PA;ALENQUER;DIESEL;05/01/2022;6,05;R$ / litro;EQUADOR
S;RS;NOVO HAMBURGO;GASOLINA ADITIVADA;06/01/2022;6,07;R$ / litro;BRANCA
SE;SP;SAO JOAO DA BOA VISTA;GASOLINA;03/01/2022;6,09;R$ / litro;BRANCA
SE;SP;CAMPINAS;GASOLINA;03/01/2022;6,09;R$ / litro;IPIRANGA
SE;SP;PRESIDENTE PRUDENTE;GASOLINA;03/01/2022;6,09;R$ / litro;BRANCA
SE;SP;OURINHOS;GASOLINA;03/01/2022;6,09;R$ / litro;BRANCA
SE;SP;SUMARE;GASOLINA;03/01/2022;6,15;R$ / litro;BRANCA
S;RS;ESTEIO;GASOLINA ADITIVADA;06/01/2022;6,16;R$ / litro;BRANCA
N;RO;JI-PARANA;DIESEL;16/02/2022;6,17;R$ / litro;VIBRA ENERGIA
CO;MS;DOURADOS;GASOLINA;03/01/2022;6,19;R$ / litro;TAURUS
SE;SP;VOTUPORANGA;GASOLINA;03/01/2022;6,19;R$ / litro;BRANCA
SE;SP;HORTOLANDIA;GASOLINA;03/01/2022;6,19;R$ / litro;BRANCA
SE;SP;MARILIA;GASOLINA;03/01/2022;6,19;R$ / litro;IPIRANGA
SE;SP;PRESIDENTE VENCESLAU;GASOLINA;03/01/2022;6,19;R$ / litro;BRANCA
SE;SP;PAULINIA;GASOLINA;03/01/2022;6,19;R$ / litro;VIBRA ENERGIA
S;PR;COLOMBO;GASOLINA;03/01/2022;6,19;R$ / litro;IPIRANGA
SE;SP;GUARATINGUETA;GASOLINA ADITIVADA;06/01/2022;6,19;R$ / litro;IPIRANGA
SE;SP;ITATIBA;GASOLINA;06/01/2022;6,19;R$ / litro;BRANCA
CO;MT;CACERES;GASOLINA;03/01/2022;6,26;R$ / litro;BRANCA
S;PR;PONTA GROSSA;GASOLINA;11/01/2022;6,26;R$ / litro;BRANCA
NE;BA;ALAGOINHAS;DIESEL S10;06/04/2022;6,26;R$ / litro;BRANCA
SE;SP;PORTO FERREIRA;GASOLINA;03/01/2022;6,27;R$ / litro;BRANCA
SE;SP;DIADEMA;GASOLINA;03/01/2022;6,29;R$ / litro;VIBRA ENERGIA
SE;SP;MOCOCA;GASOLINA;03/01/2022;6,29;R$ / litro;BRANCA
SE;SP;SAO CAETANO DO SUL;GASOLINA;03/01/2022;6,29;R$ / litro;IPIRANGA
SE;SP;SAO VICENTE;GASOLINA;03/01/2022;6,29;R$ / litro;RAIZEN
S;SC;ITAJAI;GASOLINA;03/01/2022;6,29;R$ / litro;BRANCA
SE;SP;ARARAS;GASOLINA;03/01/2022;6,29;R$ / litro;BRANCA
SE;SP;LEME;GASOLINA;03/01/2022;6,29;R$ / litro;IPIRANGA
SE;SP;LINS;GASOLINA;03/01/2022;6,29;R$ / litro;IPIRANGA
SE;SP;SANTA BARBARA D'OESTE;GASOLINA ADITIVADA;05/01/2022;6,29;R$ / litro;IPIRANGA
SE;SP;MOGI GUACU;GASOLINA;06/01/2022;6,29;R$ / litro;BRANCA
NE;PE;VITORIA DE SANTO ANTAO;GASOLINA;18/01/2022;6,29;R$ / litro;VIBRA ENERGIA
NE;MA;PRESIDENTE DUTRA;DIESEL S10;07/04/2022;6,30;R$ / litro;ALESAT
CO;MT;ALTA FLORESTA;DIESEL;04/01/2022;6,31;R$ / litro;VIBRA ENERGIA
SE;SP;CATANDUVA;GASOLINA;03/01/2022;6,34;R$ / litro;BRANCA
CO;MS;CAMPO GRANDE;GASOLINA;05/01/2022;6,34;R$ / litro;RAIZEN
SE;SP;OLIMPIA;GASOLINA;10/01/2022;6,34;R$ / litro;RAIZEN
SE;SP;BOTUCATU;GASOLINA;10/01/2022;6,34;R$ / litro;BRANCA
CO;MT;CUIABA;GASOLINA;03/01/2022;6,37;R$ / litro;BRANCA
SE;SP;INDAIATUBA;GASOLINA;03/01/2022;6,37;R$ / litro;VIBRA ENERGIA
SE;SP;SAO CARLOS;GASOLINA;03/01/2022;6,37;R$ / litro;BRANCA
SE;SP;VALINHOS;GASOLINA ADITIVADA;05/01/2022;6,37;R$ / litro;RAIZEN
SE;SP;CARAGUATATUBA;GASOLINA;03/01/2022;6,39;R$ / litro;BRANCA
SE;SP;SANTO ANDRE;GASOLINA;03/01/2022;6,39;R$ / litro;VIBRA ENERGIA
S;PR;PARANAGUA;GASOLINA;03/01/2022;6,39;R$ / litro;RAIZEN
SE;SP;BEBEDOURO;GASOLINA;03/01/2022;6,39;R$ / litro;RAIZEN
SE;SP;PIRASSUNUNGA;GASOLINA;03/01/2022;6,39;R$ / litro;IPIRANGA
SE;SP;SAO BERNARDO DO CAMPO;GASOLINA;03/01/2022;6,39;R$ / litro;RAIZEN
SE;SP;VOTORANTIM;GASOLINA;05/01/2022;6,39;R$ / litro;BRANCA
SE;SP;VARZEA PAULISTA;GASOLINA ADITIVADA;06/01/2022;6,39;R$ / litro;BRANCA
NE;MA;SAO LUIS;GASOLINA;05/01/2022;6,40;R$ / litro;BRANCA
SE;SP;SAO ROQUE;GASOLINA ADITIVADA;05/01/2022;6,41;R$ / litro;BRANCA
NE;PE;GOIANA;GASOLINA;03/01/2022;6,43;R$ / litro;BRANCA
NE;PB;CAMPINA GRANDE;GASOLINA;03/01/2022;6,45;R$ / litro;BRANCA
NE;SE;ARACAJU;GASOLINA;03/01/2022;6,45;R$ / litro;PETROX DISTRIBUIDORA
SE;SP;FRANCA;GASOLINA;03/01/2022;6,45;R$ / litro;BRANCA
S;PR;SAO JOSE DOS PINHAIS;GASOLINA ADITIVADA;04/01/2022;6,45;R$ / litro;IPIRANGA
NE;SE;LAGARTO;GASOLINA ADITIVADA;15/02/2022;6,45;R$ / litro;VIBRA ENERGIA
NE;PB;PATOS;GASOLINA;07/03/2022;6,45;R$ / litro;BRANCA
NE;PE;IGARASSU;GASOLINA;03/01/2022;6,47;R$ / litro;BRANCA
N;PA;ABAETETUBA;GASOLINA;10/01/2022;6,47;R$ / litro;BRANCA
NE;PE;SANTA CRUZ DO CAPIBARIBE;GASOLINA;03/01/2022;6,49;R$ / litro;BRANCA
S;PR;FOZ DO IGUACU;GASOLINA;03/01/2022;6,49;R$ / litro;RAIZEN
S;PR;TOLEDO;GASOLINA;03/01/2022;6,49;R$ / litro;VIBRA ENERGIA
SE;SP;EMBU DAS ARTES;GASOLINA;03/01/2022;6,49;R$ / litro;VIBRA ENERGIA
SE;SP;IBITINGA;GASOLINA;03/01/2022;6,49;R$ / litro;VIBRA ENERGIA
SE;SP;TABOAO DA SERRA;GASOLINA;03/01/2022;6,49;R$ / litro;VIBRA ENERGIA
NE;AL;MACEIO;GASOLINA;03/01/2022;6,49;R$ / litro;RAIZEN
NE;PB;JOAO PESSOA;GASOLINA;03/01/2022;6,49;R$ / litro;RAIZEN
S;SC;BALNEARIO CAMBORIU;GASOLINA;03/01/2022;6,49;R$ / litro;IPIRANGA
SE;SP;PARAGUACU PAULISTA;GASOLINA;03/01/2022;6,49;R$ / litro;VIBRA ENERGIA
SE;SP;COTIA;GASOLINA ADITIVADA;04/01/2022;6,49;R$ / litro;RAIZEN
SE;SP;RIBEIRAO PRETO;GASOLINA ADITIVADA;05/01/2022;6,49;R$ / litro;RAIZEN
SE;SP;SERTAOZINHO;GASOLINA;05/01/2022;6,49;R$ / litro;RAIZEN
SE;SP;SOROCABA;GASOLINA ADITIVADA;05/01/2022;6,49;R$ / litro;RAIZEN
SE;SP;MAUA;GASOLINA ADITIVADA;06/01/2022;6,49;R$ / litro;IPIRANGA
S;RS;TORRES;GASOLINA;10/01/2022;6,49;R$ / litro;RAIZEN
N;AM;PARINTINS;DIESEL S10;10/02/2022;6,49;R$ / litro;IPIRANGA
N;TO;PARAISO DO TOCANTINS;DIESEL S10;13/04/2022;6,49;R$ / litro;VIBRA ENERGIA
NE;PE;ARCOVERDE;DIESEL S10;26/04/2022;6,49;R$ / litro;BRANCA
SE;ES;SERRA;GASOLINA;03/01/2022;6,52;R$ / litro;VIBRA ENERGIA
S;PR;UMUARAMA;GASOLINA;03/01/2022;6,52;R$ / litro;BRANCA
